Title,Latitude,Longitude,Person,Category,Notes,Wikidata,Image,Copyright
Chief Washakie,41.310004,-105.575751,Chief Washakie,Native American,,,http://www.horseandman.com/wp-content/uploads/2018/01/Screen-Shot-2018-01-16-at-3.36.02-PM.png,no copyright
Ray Charles Memorial,31.5748506,-84.1490267,Ray Charles,Arts,,,https://1.bp.blogspot.com/-UOXalZLLuMU/XTpXq_-4VDI/AAAAAAAA4S0/DsD7tpBqWk8A-pQnqmtY22SW5U23N45pQCLcBGAs/w1200-h630-p-k-no-nu/67062278_1335139756653714_4223155094918529024_n.jpg,no copyright
Francis Scott Key Memorial,39.4061973,-77.4127354,Francis Scott Key,Arts,,,https://3.bp.blogspot.com/-3ylCQCGj50A/V81d07P2S-I/AAAAAAAALUg/R-psZGTw90MuHcwSth9zcecEtU7VMRMGwCLcB/s1600/IMG_8420-1.jpg,no copyright
Christopher Columbus Monument,40.4402583,-79.9484315,Christopher Columbus,Explorer,,,https://9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com/1140x_a10-7_cTC/20200714LL-ColumbusStatue02-1-1656636273.jpg,no copyright
Chief Tomochichi Statue,33.7911252,-84.3997237,Chief Tomochichi,Native American,,,https://apalacheresearch.com/wp-content/uploads/2021/09/tamachichi-3-1.jpg?w=816,no copyright
Ray Charles Statue,30.4693157,-83.6326873,Ray Charles,Arts,,,https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2Q5ODdhOTQ1ZWUxNThiYzhhZF9SYXkgdG8gZml4LmpwZyJdLFsicCIsInRodW1iIiwieDQwMFx1MDAzZSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MSAtYXV0by1vcmllbnQiXV0/image.jpg,no copyright
Lucille Ball Statue,42.110638,-79.2820973,Lucille Ball,Arts,,,https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzYzZDY5N2RlLTEyOWMtNDJlYS1iODgyLWYyZmM2ODEyMDBkZTJkOGQ0YzIxOGQzY2RmNGQ3Zl9MdWNpbGxlX0JhbGxfU3RhdHVlc18zLmpwZyJdLFsicCIsInRodW1iIiwiMTIwMHg-Il0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdXQ/Lucille_Ball_Statues_3.jpg,no copyright
James Garner statue,35.2207566,-97.44336,James Garner,Arts,,,https://blogoklahoma.us/content/ok/z/796_579.jpg,no copyright
Blacksmith Philip Simmons Statue,32.7958253,-79.9364049,Philip Simmons,Arts,,,https://bloximages.newyork1.vip.townnews.com/postandcourier.com/content/tncms/assets/v3/editorial/4/08/408fe971-25ea-51dc-a695-998bc463ee27/585bec41cd6e6.image.jpg,no copyright
Christopher Columbus Monument,40.9597161,-75.9748294,Christopher Columbus,Explorer,,,https://bloximages.newyork1.vip.townnews.com/standardspeaker.com/content/tncms/assets/v3/editorial/5/9c/59c28e96-992b-54cf-bc77-72510ea84887/5f0e0cc7d6d5c.image.jpg?resize=317%2C500,no copyright
Chief Little Turtle Statue,41.2308429,-85.3192638,Chief Little Turtle,Native American,,,https://bloximages.newyork1.vip.townnews.com/thepostandmail.com/content/tncms/assets/v3/editorial/c/58/c58f8c8c-1014-11ee-8dec-eb310916a993/6492c0b57add1.image.jpg?resize=333%2C500,no copyright
Elvis Statue,35.1399782,-90.0542789,Elvis Presley,Arts,,,https://c1.staticflickr.com/5/4141/4933467552_929fd76183_b.jpg,no copyright
Cesar E. Chavez National Monument,35.2233169,-118.5583736,Cesar Chavez,Civil Rights,,,https://c8.alamy.com/comp/2A8B1PH/cesar-e-chavez-national-monument-2A8B1PH.jpg,no copyright
Jose Marti Sculpture,29.7218807,-95.3880445,Jose Marti,Arts,,,https://c8.alamy.com/comp/2J0EJFX/jose-marti-at-hawkins-sculpture-walk-at-mcgovern-centennial-gardens-hermann-park-in-houston-texas-2J0EJFX.jpg,no copyright
Francis Scott Key Memorial,38.904783,-77.0682353,Francis Scott Key,Arts,,,https://c8.alamy.com/comp/TB3MYB/francis-scott-key-memorial-in-georgetown-dc-TB3MYB.jpg,no copyright
Elvis Presley Statue,36.1358366,-115.1518638,Elvis Presley,Arts,,,https://ca-times.brightspotcdn.com/dims4/default/3b6ba4b/2147483647/strip/true/crop/3024x4032+0+0/resize/840x1120!/quality/90/?url=https:%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fff%2F44%2Ffae5e5414a25840bec2ec39252d5%2Fla-tr-pandemic-elvis-02.JPG,no copyright
“Self-Portrait” by Keith Haring,41.939033,-87.6341604,Keith Haring,Arts,,,https://chigal-2018-production.s3.amazonaws.com/ky45liw5jr55fzpkg9sd580b20bu?response-content-disposition=inline%3B%20filename%3D%22IMG_8592.jpg%22%3B%20filename%2A%3DUTF-8%27%27IMG_8592.jpg&response-content-type=image%2Fjpeg&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAJKVGY6LQWYRYJQ3A%2F20240906%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240906T123350Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=a3a153e5487dcd905159772e55a43d682fbe5d97bb6a5a699dc5d003fbd171f4,no copyright
Richard Wagner Statue,41.4873372,-81.7496759,Richard Wagner,Arts,,,https://cleveland101.com/wp-content/uploads/2016/01/richard-wagner-statue-1.jpg,no copyright
Christoper Columbus Statue,40.8532819,-73.889274,Christopher Columbus,Explorer,,,https://commons.wikimedia.org/wiki/File:Bust_of_Christopher_Columbus_in_the_Bronx.jpg,
